Мощность на УБМ, dBm	18,000000						
Gate start, ms	50,000000						
Gate lenght, ms	50,000000						
T, ms	100,000000						
Точность подстройки, dBm	0,100000						
Iпот(покоя), mA	650						
Uп, В	28						
Uсм, В							
С калибровкой							
№	f, MHz	P, dBm	IG, mA	ID, A	Gain, dB	КПД, %	Pвых, W
1,000000	500000000,000000	32,637330	-0,000388	1,106362	14,637330	5,721176	1,835410
2,000000	600000000,000000	34,610988	-0,000263	1,004973	16,610988	10,050877	2,891338
3,000000	700000000,000000	36,107441	-0,000213	0,909187	18,107441	15,782125	4,080789
4,000000	800000000,000000	36,652450	-0,000126	0,884949	18,652450	18,416406	4,626420
5,000000	900000000,000000	37,109069	-0,000287	0,859319	19,109069	21,097438	5,139335
6,000000	1000000000,000000	37,349325	-0,000279	0,852431	19,349325	22,492656	5,431659
7,000000	1100000000,000000	37,880273	-0,000071	0,855589	19,880273	25,358092	6,138005
8,000000	1200000000,000000	38,043021	0,000150	0,864918	20,043021	26,052389	6,372386
9,000000	1300000000,000000	38,563847	-0,000463	0,926446	20,563847	27,452103	7,184304
10,000000	1400000000,000000	39,279618	0,000189	1,022981	21,279618	29,355513	8,471530
11,000000	1500000000,000000	39,950499	-0,000160	1,112401	21,950499	31,539138	9,886666
12,000000	1600000000,000000	40,369661	-0,000369	1,146224	22,369661	33,729880	10,888451
13,000000	1700000000,000000	40,344894	-0,000107	1,171055	22,344894	32,825815	10,826532
14,000000	1800000000,000000	40,506565	-0,000146	1,199348	22,506565	33,274205	11,237158
15,000000	1900000000,000000	40,393448	-0,000194	1,228509	22,393448	31,644510	10,948252
16,000000	2000000000,000000	40,713451	-0,000011	1,269950	22,713451	32,966225	11,785422
17,000000	2100000000,000000	40,645697	0,000128	1,228907	22,645697	33,537026	11,602983
18,000000	2200000000,000000	40,075921	-0,000229	1,183914	22,075921	30,507946	10,176352
19,000000	2300000000,000000	39,773113	-0,000376	1,149769	21,773113	29,285035	9,490986
20,000000	2400000000,000000	39,376105	-0,000180	1,133154	21,376105	27,101187	8,661846
21,000000	2500000000,000000	39,571780	-0,000440	1,144299	21,571780	28,083146	9,061039
22,000000	2600000000,000000	39,780904	-0,000501	1,160974	21,780904	29,054821	9,508028
23,000000	2700000000,000000	39,763902	-0,000398	1,175189	21,763902	28,590485	9,470877
24,000000	2800000000,000000	39,720946	-0,000029	1,192428	21,720946	27,897948	9,377662
25,000000	2900000000,000000	39,967422	-0,000192	1,222502	21,967422	28,811429	9,925267
26,000000	3000000000,000000	39,963961	-0,000516	1,234392	21,963961	28,511041	9,917360
27,000000	3100000000,000000	40,003480	-0,000047	1,262533	22,003480	28,131997	10,008016
28,000000	3200000000,000000	39,900501	0,000090	1,302255	21,900501	26,630738	9,773499
29,000000	3300000000,000000	39,759070	-0,000463	1,295219	21,759070	25,911914	9,460345
30,000000	3400000000,000000	40,014952	-0,000344	1,300670	22,014952	27,379821	10,034487
31,000000	3500000000,000000	40,053725	-0,000780	1,339790	22,053725	26,820253	10,124475
32,000000	3600000000,000000	40,180560	-0,000156	1,384227	22,180560	26,733393	10,424519
33,000000	3700000000,000000	40,337715	-0,000341	1,407290	22,337715	27,270120	10,808650
34,000000	3800000000,000000	40,419926	-0,000612	1,451515	22,419926	26,947484	11,015206
35,000000	3900000000,000000	40,451981	-0,000559	1,483482	22,451981	26,563256	11,096809
36,000000	4000000000,000000	40,294253	-0,000287	1,482295	22,294253	25,630931	10,701022
37,000000	4100000000,000000	40,168765	0,000174	1,505661	22,168765	24,510229	10,396246
38,000000	4200000000,000000	40,114386	-0,000347	1,482173	22,114386	24,586935	10,266882
39,000000	4300000000,000000	40,097845	-0,000144	1,474016	22,097845	24,628434	10,227854
40,000000	4400000000,000000	40,174649	-0,000446	1,462171	22,174649	25,273675	10,410341
41,000000	4500000000,000000	40,085551	0,000123	1,443874	22,085551	25,071047	10,198940
42,000000	4600000000,000000	39,789694	-0,000813	1,443383	21,789694	23,417687	9,527290
43,000000	4700000000,000000	39,699015	-0,000095	1,413420	21,699015	23,416681	9,330427
44,000000	4800000000,000000	39,504777	0,000054	1,365048	21,504777	23,178732	8,922319
45,000000	4900000000,000000	39,241500	-0,000525	1,341586	21,241500	22,186973	8,397500
46,000000	5000000000,000000	39,059152	-0,000205	1,350021	21,059152	21,134904	8,052213
47,000000	5100000000,000000	38,958541	-0,000317	1,424057	20,958541	19,573656	7,867815
48,000000	5200000000,000000	39,150798	-0,000342	1,512087	21,150798	19,275261	8,223938
49,000000	5300000000,000000	39,097241	-0,000027	1,541253	21,097241	18,676935	8,123143
50,000000	5400000000,000000	38,894380	-0,000483	1,569673	20,894380	17,495310	7,752433
51,000000	5500000000,000000	38,797907	-0,000236	1,586345	20,797907	16,928010	7,582120
52,000000	5600000000,000000	38,747872	-0,000281	1,599211	20,747872	16,597850	7,495268
53,000000	5700000000,000000	39,028054	-0,000204	1,602599	21,028054	17,675894	7,994760
54,000000	5800000000,000000	39,192426	-0,000236	1,604053	21,192426	18,346498	8,303145
55,000000	5900000000,000000	39,299726	-0,000491	1,598610	21,299726	18,872975	8,510844
56,000000	6000000000,000000	39,127650	-0,000465	1,591335	21,127650	18,217240	8,180221
57,000000	6100000000,000000	38,837553	-0,000540	1,552975	20,837553	17,451658	7,651653
58,000000	6200000000,000000	38,977885	-0,000202	1,520019	20,977885	18,420447	7,902937
59,000000	6300000000,000000	38,992715	0,000188	1,496372	20,992715	18,776057	7,929968
60,000000	6400000000,000000	39,012335	-0,000035	1,476830	21,012335	19,111349	7,965876
61,000000	6500000000,000000	39,159138	-0,000157	1,482765	21,159138	19,694498	8,239746
62,000000	6600000000,000000	38,971027	-0,000463	1,475597	20,971027	18,944806	7,890467
63,000000	6700000000,000000	38,802355	-0,000258	1,476356	20,802355	18,207946	7,589891
64,000000	6800000000,000000	38,785468	-0,000576	1,478879	20,785468	18,105753	7,560434
65,000000	6900000000,000000	38,840595	-0,000245	1,476456	20,840595	18,369078	7,657014
66,000000	7000000000,000000	38,840817	-0,000071	1,477023	20,840817	18,362983	7,657407
67,000000	7100000000,000000	38,954303	-0,000296	1,484677	20,954303	18,755992	7,860140
68,000000	7200000000,000000	38,974716	-0,000027	1,482099	20,974716	18,877847	7,897171
69,000000	7300000000,000000	38,836606	-0,000511	1,482663	20,836606	18,275253	7,649985
70,000000	7400000000,000000	38,767262	-0,000230	1,491564	20,767262	17,876038	7,528808
71,000000	7500000000,000000	38,766521	-0,000122	1,490076	20,766521	17,890809	7,527523
72,000000	7600000000,000000	38,851470	0,000086	1,499166	20,851470	18,136554	7,676212
73,000000	7700000000,000000	39,128027	-0,000144	1,491740	21,128027	19,435196	8,180930
74,000000	7800000000,000000	38,858202	-0,000382	1,488281	20,858202	18,297777	7,688121
75,000000	7900000000,000000	38,680216	-0,000366	1,496327	20,680216	17,462555	7,379410
76,000000	8000000000,000000	38,559609	-0,000315	1,484131	20,559609	17,119682	7,177296
