Мощность на УБМ, dBm	18,000000						
Gate start, ms	20,000000						
Gate lenght, ms	80,000000						
T, ms	1000,000000						
Точность подстройки, dBm	0,100000						
Iпот(покоя), mA	650						
Uп, В	28						
Uсм, В							
С калибровкой							
№	f, MHz	P, dBm	IG, mA	ID, A	Gain, dB	КПД, %	Pвых, W
70,000000	7400000000,000000	38,527650	-0,000280	0,178741	20,527650	14,109777	7,124674
71,000000	7500000000,000000	38,458362	-0,000329	0,178216	20,458362	13,925347	7,011907
72,000000	7600000000,000000	38,499648	-0,000287	0,179167	20,499648	13,984912	7,078884
73,000000	7700000000,000000	38,798128	0,000027	0,177459	20,798128	15,133127	7,582507
74,000000	7800000000,000000	38,628585	-0,000240	0,176857	20,628585	14,598331	7,292199
75,000000	7900000000,000000	38,499962	-0,000326	0,178328	20,499962	14,051734	7,079396
76,000000	8000000000,000000	38,454539	-0,000321	0,177227	20,454539	13,990655	7,005738
77,000000	8100000000,000000	38,195389	-0,000240	0,176040	20,195389	13,261631	6,599924
78,000000	8200000000,000000	38,132376	-0,000403	0,176352	20,132376	13,045691	6,504855
79,000000	8300000000,000000	37,994668	-0,000344	0,175343	19,994668	12,707210	6,301831
80,000000	8400000000,000000	37,498556	0,000044	0,174479	19,498556	11,377656	5,621544
81,000000	8500000000,000000	37,345019	-0,000406	0,175014	19,345019	10,944380	5,426276
82,000000	8600000000,000000	37,335586	-0,000110	0,174641	19,335586	10,943661	5,414503
83,000000	8700000000,000000	37,062570	0,000037	0,174758	19,062570	10,262191	5,084603
84,000000	8800000000,000000	37,095617	-0,000807	0,174015	19,095617	10,385687	5,123441
85,000000	8900000000,000000	37,138043	-0,000271	0,173777	19,138043	10,503302	5,173736
86,000000	9000000000,000000	36,967633	-0,000047	0,171307	18,967633	10,239700	4,974658
