Мощность на УБМ, dBm	18,000000						
Gate start, ms	20,000000						
Gate lenght, ms	80,000000						
T, ms	1000,000000						
Точность подстройки, dBm	0,100000						
Iпот(покоя), mA	650						
Uп, В	28						
Uсм, В							
С калибровкой							
№	f, MHz	P, dBm	IG, mA	ID, A	Gain, dB	КПД, %	Pвых, W
1,000000	500000000,000000	33,508423	-0,000412	0,140536	15,508423	5,539944	2,243068
2,000000	600000000,000000	34,977124	-0,000537	0,126701	16,977124	8,689068	3,145664
3,000000	700000000,000000	36,251145	-0,000421	0,114248	18,251145	12,988571	4,218076
4,000000	800000000,000000	36,675531	-0,000136	0,109876	18,675531	14,912852	4,651073
5,000000	900000000,000000	37,046136	0,000076	0,105547	19,046136	16,926507	5,065399
6,000000	1000000000,000000	37,260932	-0,000213	0,104003	19,260932	18,059736	5,322224
7,000000	1100000000,000000	37,795982	-0,000414	0,104298	19,795982	20,398082	6,020023
8,000000	1200000000,000000	37,965107	-0,000469	0,105157	19,965107	21,043333	6,259082
9,000000	1300000000,000000	38,441600	-0,000016	0,110758	20,441600	22,319504	6,984897
10,000000	1400000000,000000	39,153046	-0,000836	0,119619	21,153046	24,378257	8,228195
11,000000	1500000000,000000	39,806348	-0,000225	0,127901	21,806348	26,529536	9,563895
12,000000	1600000000,000000	40,295522	-0,000388	0,131301	22,295522	28,944080	10,704149
13,000000	1700000000,000000	40,345597	0,000002	0,134698	22,345597	28,543238	10,828285
14,000000	1800000000,000000	40,560809	-0,000242	0,137672	22,560809	29,353648	11,378393
15,000000	1900000000,000000	40,456719	0,000041	0,140932	22,456719	27,991694	11,108921
16,000000	2000000000,000000	40,802026	-0,000283	0,145190	22,802026	29,432306	12,028253
17,000000	2100000000,000000	40,744406	-0,000231	0,141003	22,744406	29,904752	11,869722
18,000000	2200000000,000000	40,168788	0,000238	0,136800	22,168788	26,976868	10,396300
19,000000	2300000000,000000	39,801283	-0,000446	0,132767	21,801283	25,527229	9,552747
20,000000	2400000000,000000	39,268798	-0,000286	0,129816	21,268798	23,074775	8,450449
21,000000	2500000000,000000	39,419757	-0,000257	0,130859	21,419757	23,706615	8,749348
22,000000	2600000000,000000	39,706776	-0,000616	0,131988	21,706776	25,121299	9,347115
23,000000	2700000000,000000	39,706536	-0,000049	0,132487	21,706536	25,025414	9,346598
24,000000	2800000000,000000	39,599551	-0,000318	0,133178	21,599551	24,285654	9,119165
25,000000	2900000000,000000	39,846909	0,000199	0,135675	21,846909	25,245562	9,653636
26,000000	3000000000,000000	39,867205	-0,000363	0,136506	21,867205	25,210126	9,698856
27,000000	3100000000,000000	39,962405	-0,000031	0,139861	21,962405	25,154433	9,913809
28,000000	3200000000,000000	39,939194	-0,000358	0,144784	21,939194	24,168682	9,860964
29,000000	3300000000,000000	39,725129	0,000052	0,145665	21,725129	22,859720	9,386699
30,000000	3400000000,000000	40,091318	-0,000292	0,146393	22,091318	24,760681	10,212494
31,000000	3500000000,000000	40,237858	-0,000247	0,149622	22,237858	25,062816	10,562964
32,000000	3600000000,000000	40,356605	-0,000170	0,153339	22,356605	25,137341	10,855768
33,000000	3700000000,000000	40,512193	-0,000158	0,155501	22,512193	25,697226	11,251730
34,000000	3800000000,000000	40,687574	-0,000180	0,160861	22,687574	25,870341	11,715407
35,000000	3900000000,000000	41,001644	-0,000585	0,169808	23,001644	26,355185	12,594019
36,000000	4000000000,000000	41,038755	-0,000268	0,174588	23,038755	25,854759	12,702098
37,000000	4100000000,000000	41,078782	-0,000033	0,180129	23,078782	25,292666	12,819710
38,000000	4200000000,000000	40,869164	-0,000513	0,176609	22,869164	24,575162	12,215644
39,000000	4300000000,000000	40,787787	-0,000230	0,175372	22,787787	24,286673	11,988883
40,000000	4400000000,000000	40,938654	0,000292	0,176030	22,938654	25,055746	12,412675
41,000000	4500000000,000000	40,872584	0,000122	0,173646	22,872584	25,014261	12,225267
42,000000	4600000000,000000	40,670145	-0,000045	0,173054	22,670145	23,950760	11,668485
43,000000	4700000000,000000	40,504083	-0,000398	0,168181	22,504083	23,715247	11,230738
44,000000	4800000000,000000	40,235711	-0,000205	0,162925	22,235711	23,004984	10,557743
45,000000	4900000000,000000	40,104963	-0,000415	0,161471	22,104963	22,519564	10,244629
46,000000	5000000000,000000	40,073729	-0,000380	0,160787	22,073729	22,452315	10,171217
47,000000	5100000000,000000	39,921091	-0,000216	0,166568	21,921091	20,919944	9,819946
48,000000	5200000000,000000	40,044150	-0,000354	0,175638	22,044150	20,413517	10,102178
49,000000	5300000000,000000	40,016407	-0,000142	0,179630	22,016407	19,831997	10,037849
50,000000	5400000000,000000	39,860428	-0,000203	0,183674	21,860428	18,706785	9,683732
51,000000	5500000000,000000	39,820003	-0,000215	0,186730	21,820003	18,228955	9,594012
52,000000	5600000000,000000	39,758226	-0,000205	0,187544	21,758226	17,891846	9,458508
53,000000	5700000000,000000	39,942301	-0,000166	0,186510	21,942301	18,775150	9,868022
54,000000	5800000000,000000	40,046623	-0,000389	0,184633	22,046623	19,430111	10,107931
55,000000	5900000000,000000	40,088135	-0,000376	0,183469	22,088135	19,742409	10,205012
56,000000	6000000000,000000	39,919109	-0,000680	0,182473	21,919109	19,087673	9,815466
57,000000	6100000000,000000	39,593091	-0,000569	0,179649	21,593091	17,976519	9,105610
58,000000	6200000000,000000	39,740970	-0,000189	0,177337	21,740970	18,846139	9,421000
59,000000	6300000000,000000	39,733524	-0,000214	0,174535	21,733524	19,115660	9,404861
60,000000	6400000000,000000	39,732695	-0,000319	0,172223	21,732695	19,368512	9,403067
61,000000	6500000000,000000	39,918035	-0,000516	0,171347	21,918035	20,322055	9,813039
62,000000	6600000000,000000	39,661354	-0,000366	0,169816	21,661354	19,320867	9,249865
63,000000	6700000000,000000	39,358684	-0,000177	0,168872	21,358684	18,111928	8,627171
64,000000	6800000000,000000	39,282306	-0,000423	0,169750	21,282306	17,701796	8,476774
65,000000	6900000000,000000	39,366714	-0,000250	0,171653	21,366714	17,851680	8,643137
66,000000	7000000000,000000	39,445381	-0,000225	0,173647	21,445381	17,971705	8,801124
67,000000	7100000000,000000	39,688962	0,000037	0,176969	21,688962	18,658905	9,308853
68,000000	7200000000,000000	39,729858	-0,000376	0,177927	21,729858	18,735268	9,396926
69,000000	7300000000,000000	39,559247	-0,000297	0,178270	21,559247	17,973983	9,034929
70,000000	7400000000,000000	39,540676	-0,000833	0,180061	21,540676	17,718794	8,996376
71,000000	7500000000,000000	39,545727	-0,000550	0,179879	21,545727	17,757442	9,006845
72,000000	7600000000,000000	39,648265	-0,000252	0,181206	21,648265	18,051495	9,222028
73,000000	7700000000,000000	39,956328	-0,000286	0,180725	21,956328	19,439231	9,899944
74,000000	7800000000,000000	39,708796	-0,000104	0,180384	21,708796	18,390076	9,351464
75,000000	7900000000,000000	39,557486	-0,000172	0,182069	21,557486	17,591785	9,031264
76,000000	8000000000,000000	39,472128	-0,000181	0,181430	21,472128	17,307774	8,855494
77,000000	8100000000,000000	39,112678	0,000019	0,179993	21,112678	16,050168	8,152067
78,000000	8200000000,000000	38,955659	0,000045	0,179432	20,955659	15,524193	7,862595
79,000000	8300000000,000000	38,732071	-0,000009	0,177798	20,732071	14,874339	7,468049
80,000000	8400000000,000000	38,214847	-0,000254	0,176683	20,214847	13,273324	6,629560
81,000000	8500000000,000000	38,058872	0,000083	0,176444	20,058872	12,817926	6,395687
82,000000	8600000000,000000	37,958110	-0,000408	0,174968	19,958110	12,626631	6,249007
83,000000	8700000000,000000	37,695886	0,000052	0,173844	19,695886	11,956066	5,882861
84,000000	8800000000,000000	37,719998	-0,000598	0,173193	19,719998	12,068501	5,915614
85,000000	8900000000,000000	37,757578	-0,000439	0,173108	19,757578	12,180531	5,967024
86,000000	9000000000,000000	37,657359	0,000003	0,170527	19,657359	12,079805	5,830904
